1	0
395418	2
395548	1
395842	2
2	0
394498	1
394981	2
395247	1
395276	1
395418	2
395464	2
395651	2
395774	3
395800	2
395821	8
3	0
394672	2
394720	1
394907	1
395001	1
395242	1
395318	2
395464	1
395582	1
395658	1
395699	1
395722	1
395826	1
4	0
394738	1
394792	1
394983	1
395323	1
5	0
394767	12
394768	2
394838	1
394915	2
394931	1
395099	1
395126	1
395151	1
395253	1
395265	2
395291	1
395323	2
395339	1
395389	1
395507	1
395512	2
395769	1
395778	1
395825	2
395841	2
395842	6
395843	2
6	0
394505	1
394598	1
394767	1
394912	3
395127	1
395265	6
395316	2
395512	3
395842	4
395843	1
7	0
394768	1
395265	1
395464	1
395466	1
395482	1
395483	1
395506	4
395507	4
395581	1
395604	2
395656	1
395752	1
8	0
394479	1
394501	1
394570	1
394604	1
394624	1
394767	4
394793	1
394813	1
394816	1
394833	1
394839	1
394912	1
394913	1
394930	2
395123	1
395151	3
395152	2
395265	1
395296	2
395299	9
395323	1
395368	1
395416	1
395420	2
395466	3
395481	1
395482	3
395583	1
395609	24
395631	3
395675	2
395773	1
395774	1
395776	1
395799	1
395826	1
395842	1
395865	7
9	0
394598	1
394601	1
394627	1
394720	1
394739	1
394792	1
394833	6
394912	1
395268	1
395392	2
395394	1
395417	1
395419	1
395462	1
395489	2
395512	1
395603	3
395631	1
395634	1
395656	1
395700	2
395747	5
395753	1
395823	6
395841	4
395842	5
395843	1
10	0
395604	2
395605	1
395610	1
395755	2
395826	2
11	0
394593	4
394648	1
394690	1
394912	1
394930	3
394931	1
394961	2
394991	1
395001	2
395203	5
395269	2
395296	6
395319	1
395459	2
395465	1
395489	2
395578	1
395587	1
395674	4
395751	1
12	0
394508	3
394604	5
394648	1
394668	4
394763	8
394791	1
394816	3
394833	2
395010	1
395391	1
395393	2
395394	1
395409	3
395487	2
395601	1
395674	1
13	0
395458	1
14	0
394669	1
394670	20
394785	6
394963	1
395033	8
395266	1
395269	1
395296	2
395342	4
395674	7
15	0
394475	2
394502	2
394508	1
394603	1
394788	4
394789	1
394791	2
394792	14
394816	4
394910	1
395390	1
395659	2
16	0
17	0
394593	1
395673	3
18	0
394817	1
395247	2
395394	1
19	0
20	0
21	0
394720	1
22	0
395299	1
395462	6
23	0
394668	2
24	0
25	0
26	0
27	0
28	0
29	0
